method,lambda,feature,coefficient
SCAD Logistic via LLA,0.5,V131,-0.14088126033928908
SCAD Logistic via LLA,0.5,V132,-0.04866616538426262
SCAD Logistic via LLA,0.5,V133,-0.012851363883857669
SCAD Logistic via LLA,0.5,V134,0.029717507001348554
SCAD Logistic via LLA,0.5,V135,0.036245987789674666
SCAD Logistic via LLA,0.5,V136,0.05768422139614566
SCAD Logistic via LLA,0.5,V137,0.13246327483014533
SCAD Logistic via LLA,0.5,V138,0.1665437356713429
SCAD Logistic via LLA,0.5,V139,-0.06070006477408683
SCAD Logistic via LLA,0.5,V140,-0.09935842942407755
SCAD Logistic via LLA,0.5,V141,0.14688106854002628
SCAD Logistic via LLA,0.5,V142,0.04725389967465429
SCAD Logistic via LLA,0.5,V143,0.018271029917781328
SCAD Logistic via LLA,0.5,V144,-0.02771983588019994
SCAD Logistic via LLA,0.5,V145,0.07244407074969682
SCAD Logistic via LLA,0.5,V146,0.005435342829395259
SCAD Logistic via LLA,0.5,V147,-0.054573766687324984
SCAD Logistic via LLA,0.5,V148,-0.05709815019756631
SCAD Logistic via LLA,0.5,V149,0.00600736475540494
SCAD Logistic via LLA,0.5,V150,0.07662011834813726
SCAD Logistic via LLA,0.5,V151,-0.05138778750281281
SCAD Logistic via LLA,0.5,V152,0.057349133707643045
SCAD Logistic via LLA,0.5,V153,-0.14621131578181001
SCAD Logistic via LLA,0.5,V154,-0.618526619673127
SCAD Logistic via LLA,0.5,V155,-0.0710145205353107
SCAD Logistic via LLA,0.5,V156,-0.053016602398291944
SCAD Logistic via LLA,0.5,V157,-0.021029035590420422
SCAD Logistic via LLA,0.5,V158,-0.03596947037260031
SCAD Logistic via LLA,0.5,V159,0.07015497470098338
SCAD Logistic via LLA,0.5,V160,-0.08973771448866291
SCAD Logistic via LLA,0.5,V161,0.010631868764191015
SCAD Logistic via LLA,0.5,V162,-0.1435872817900577
SCAD Logistic via LLA,0.5,V163,-0.07901767674028053
SCAD Logistic via LLA,0.5,V164,0.11471537633291518
SCAD Logistic via LLA,0.5,V165,0.06918926693137505
SCAD Logistic via LLA,0.5,V166,0.14890394067642063
SCAD Logistic via LLA,0.5,V167,-0.06740775321272399
SCAD Logistic via LLA,0.5,V168,-0.08684017106602192
SCAD Logistic via LLA,0.5,V169,-0.14245447910876602
SCAD Logistic via LLA,0.5,V170,-0.0018336560541812419
SCAD Logistic via LLA,0.5,V171,-0.03895717711110027
SCAD Logistic via LLA,0.5,V173,0.01219184527547363
SCAD Logistic via LLA,0.5,V174,0.012731336993288501
SCAD Logistic via LLA,0.5,V175,0.0013774920703948383
SCAD Logistic via LLA,0.5,V176,-0.050373234383001946
SCAD Logistic via LLA,0.5,V177,-0.011379562004480495
SCAD Logistic via LLA,0.5,V178,0.035162644462601735
SCAD Logistic via LLA,0.5,V179,-0.014274291537978647
SCAD Logistic via LLA,0.5,V180,-0.0792991336025074
SCAD Logistic via LLA,0.5,V181,-0.030701550646841522
SCAD Logistic via LLA,0.5,V182,0.004209931914378369
SCAD Logistic via LLA,0.5,V183,0.05574493508406885
SCAD Logistic via LLA,0.5,V184,-0.04854616639508501
SCAD Logistic via LLA,0.5,V185,0.06091152851759381
SCAD Logistic via LLA,0.5,V186,0.0401601987716672
SCAD Logistic via LLA,0.5,V187,0.10364813839251082
SCAD Logistic via LLA,0.5,V188,-0.060211473778780146
SCAD Logistic via LLA,0.5,V189,-0.033382242548223647
SCAD Logistic via LLA,0.5,V190,0.032650089096093134
SCAD Logistic via LLA,0.5,V191,-0.03619130449587038
SCAD Logistic via LLA,0.5,V192,0.0607244403412226
SCAD Logistic via LLA,0.5,V193,-0.01627251753566449
SCAD Logistic via LLA,0.5,V194,-0.07824275924391659
SCAD Logistic via LLA,0.5,V195,0.0201147280319798
SCAD Logistic via LLA,0.5,V196,0.08213439254385063
SCAD Logistic via LLA,0.5,V197,0.09395637211674325
SCAD Logistic via LLA,0.5,V198,0.08420916004708053
SCAD Logistic via LLA,0.5,V199,0.029941096914452573
SCAD Logistic via LLA,0.5,V200,-0.07017764217504936
SCAD Logistic via LLA,0.5,V201,-0.07734535084282361
SCAD Logistic via LLA,0.5,V202,0.038873504940580034
SCAD Logistic via LLA,0.5,V203,-0.08703991463084773
SCAD Logistic via LLA,0.5,V204,0.011246273160264983
SCAD Logistic via LLA,0.5,V205,0.11238549000966788
SCAD Logistic via LLA,0.5,V206,-0.08546785339974199
SCAD Logistic via LLA,0.5,V207,-0.0552913590188495
SCAD Logistic via LLA,0.5,V208,0.12381642365841408
SCAD Logistic via LLA,0.5,V209,0.009743554135957185
SCAD Logistic via LLA,0.5,V210,0.031292704668794566
SCAD Logistic via LLA,0.5,V211,0.0026241275367681924
SCAD Logistic via LLA,0.5,V212,0.16465037150628667
SCAD Logistic via LLA,0.5,V213,-0.047438511070697
SCAD Logistic via LLA,0.5,V214,0.07513195739180109
SCAD Logistic via LLA,0.5,V215,0.09282399218194318
SCAD Logistic via LLA,0.5,V216,0.014532849075669162
SCAD Logistic via LLA,0.5,V217,-0.06320294792410014
SCAD Logistic via LLA,0.5,V218,-0.017342057455083194
SCAD Logistic via LLA,0.5,V219,-0.018619582353578704
SCAD Logistic via LLA,0.5,V220,-0.03138039998839561
SCAD Logistic via LLA,0.5,V221,-0.10296971317315788
SCAD Logistic via LLA,0.5,V222,-0.1332963203636562
SCAD Logistic via LLA,0.5,V223,-0.02821391180170408
SCAD Logistic via LLA,0.5,V224,-0.08408447020753737
SCAD Logistic via LLA,0.5,V225,-0.03710644501541222
SCAD Logistic via LLA,0.5,V227,-0.16406226144556055
SCAD Logistic via LLA,0.5,V228,-0.08843485718479611
SCAD Logistic via LLA,0.5,V229,-0.009320869176918132
SCAD Logistic via LLA,0.5,V230,0.03522689769697828
SCAD Logistic via LLA,0.5,V231,0.004138196844103762
SCAD Logistic via LLA,0.5,V232,-0.010769124123635971
SCAD Logistic via LLA,0.5,V233,0.015476237791453237
SCAD Logistic via LLA,0.5,V234,-0.03736860494189832
SCAD Logistic via LLA,0.5,V235,-0.013821030384263362
SCAD Logistic via LLA,0.5,V236,-0.016364840029049078
SCAD Logistic via LLA,0.5,V237,-0.06382068623417345
SCAD Logistic via LLA,0.5,V238,-0.05768311492806695
SCAD Logistic via LLA,0.5,V239,-0.013085678657575978
SCAD Logistic via LLA,0.5,V240,-0.03745425845345926
SCAD Logistic via LLA,0.5,V241,0.017970392688049393
SCAD Logistic via LLA,0.5,V242,0.08024423422889333
SCAD Logistic via LLA,0.5,V243,0.049302614342387564
SCAD Logistic via LLA,0.5,V244,-0.04747563434942625
SCAD Logistic via LLA,0.5,V245,0.03641289339214576
SCAD Logistic via LLA,0.5,V246,0.09212679514559646
SCAD Logistic via LLA,0.5,V247,0.03107169280505507
SCAD Logistic via LLA,0.5,V248,0.02504695379314683
SCAD Logistic via LLA,0.5,V249,0.13123495948687836
SCAD Logistic via LLA,0.5,V250,0.04005466195441789
SCAD Logistic via LLA,0.5,V251,0.007365651365419837
SCAD Logistic via LLA,0.5,V252,0.06390082816540103
SCAD Logistic via LLA,0.5,V253,0.0021886919302069605
SCAD Logistic via LLA,0.5,V254,-0.10918877621633971
SCAD Logistic via LLA,0.5,V255,0.021415389770077328
SCAD Logistic via LLA,0.5,V256,-0.02330222851906001
SCAD Logistic via LLA,0.5,V257,-0.07138197511351067
SCAD Logistic via LLA,0.5,V258,-0.007811165747828202
SCAD Logistic via LLA,0.5,V259,-0.051619082581411235
SCAD Logistic via LLA,0.5,V260,-0.03383361335945202
SCAD Logistic via LLA,0.5,V261,0.03037247879831682
SCAD Logistic via LLA,0.5,V262,-0.06304285169543952
SCAD Logistic via LLA,0.5,V263,0.00800886975259444
SCAD Logistic via LLA,0.5,V264,0.024045629616912322
SCAD Logistic via LLA,0.5,V265,-0.06951803157187175
SCAD Logistic via LLA,0.5,V266,0.05991836172310399
SCAD Logistic via LLA,0.5,V267,0.0498118867408546
SCAD Logistic via LLA,0.5,V268,-0.04337198829320166
SCAD Logistic via LLA,0.5,V269,0.03501951141767086
SCAD Logistic via LLA,0.5,V270,0.017385665089807958
SCAD Logistic via LLA,0.5,V271,0.0134071814465858
SCAD Logistic via LLA,0.5,V272,0.009822865556983966
SCAD Logistic via LLA,0.5,V273,0.012699752515892143
SCAD Logistic via LLA,0.5,V274,0.004786797454452282
SCAD Logistic via LLA,0.5,V275,-0.023442320169082802
SCAD Logistic via LLA,0.5,V276,0.04370730464594465
SCAD Logistic via LLA,0.5,V277,0.04661551798171904
SCAD Logistic via LLA,0.5,V278,-0.08800923828124968
SCAD Logistic via LLA,0.5,V279,-0.1048095982370023
SCAD Logistic via LLA,0.5,V280,0.04494226496717484
SCAD Logistic via LLA,0.5,V281,-0.010772153101494441
SCAD Logistic via LLA,0.5,V282,-0.3094484792875572
SCAD Logistic via LLA,0.5,V283,0.16316856244639125
SCAD Logistic via LLA,0.5,V284,-0.012109930231875302
SCAD Logistic via LLA,0.5,V286,-0.1391784873140774
SCAD Logistic via LLA,0.5,V287,-0.1531112123279507
SCAD Logistic via LLA,0.5,V288,-0.028082585672661364
SCAD Logistic via LLA,0.5,V289,-0.019424697191485964
SCAD Logistic via LLA,0.5,V290,0.03358277528673743
SCAD Logistic via LLA,0.5,V291,0.0383046841094531
SCAD Logistic via LLA,0.5,V292,-0.10873073942803821
SCAD Logistic via LLA,0.5,V293,-0.031823813166285075
SCAD Logistic via LLA,0.5,V294,-0.0007815521511882834
SCAD Logistic via LLA,0.5,V295,0.024817811115314708
SCAD Logistic via LLA,0.5,V296,-0.034013523731126594
SCAD Logistic via LLA,0.5,V297,-0.18194289392734983
SCAD Logistic via LLA,0.5,V298,-0.06606646385112712
SCAD Logistic via LLA,0.5,V299,-0.11952026042130931
SCAD Logistic via LLA,0.5,V300,0.09299606467347028
SCAD Logistic via LLA,0.5,V301,-0.053853777396498194
SCAD Logistic via LLA,0.5,V302,0.10001107387474367
SCAD Logistic via LLA,0.5,V303,0.05783090744513844
SCAD Logistic via LLA,0.5,V304,-0.08814876537075421
SCAD Logistic via LLA,0.5,V305,-0.10859869049194602
SCAD Logistic via LLA,0.5,V306,-0.06703565438483756
SCAD Logistic via LLA,0.5,V307,-0.10342419148595491
SCAD Logistic via LLA,0.5,V308,0.04250832798968453
SCAD Logistic via LLA,0.5,V309,0.0997964952819129
SCAD Logistic via LLA,0.5,V310,0.12410473244448293
SCAD Logistic via LLA,0.5,V311,-0.15428576014075007
SCAD Logistic via LLA,0.5,V312,0.041579730063938634
SCAD Logistic via LLA,0.5,V313,0.04006617833028057
SCAD Logistic via LLA,0.5,V314,-0.05115903124674806
SCAD Logistic via LLA,0.5,V315,0.056046654625839853
SCAD Logistic via LLA,0.5,V316,-0.03854234332502505
SCAD Logistic via LLA,0.5,V317,-0.010988189433542711
SCAD Logistic via LLA,0.5,V318,0.09571456158675161
SCAD Logistic via LLA,0.5,V319,-0.8275234081658267
SCAD Logistic via LLA,0.5,V320,-0.015432613070081334
SCAD Logistic via LLA,0.5,V321,0.055978540860940326
SCAD Logistic via LLA,0.5,V322,0.07691618666004811
SCAD Logistic via LLA,0.5,V323,-0.0524396400980431
SCAD Logistic via LLA,0.5,V324,-0.20443291127101104
SCAD Logistic via LLA,0.5,V325,0.002303188861316184
SCAD Logistic via LLA,0.5,V326,-0.04319346902104329
SCAD Logistic via LLA,0.5,V327,-0.021457420419059053
SCAD Logistic via LLA,0.5,V328,-0.04245228889469653
SCAD Logistic via LLA,0.5,V329,-0.005991052650083519
SCAD Logistic via LLA,0.5,V330,0.047173342197241674
SCAD Logistic via LLA,0.5,V331,0.093276090055459
SCAD Logistic via LLA,0.5,V332,-0.002177976236903991
SCAD Logistic via LLA,0.5,V333,0.02735983689042283
SCAD Logistic via LLA,0.5,V334,0.09085064800613624
SCAD Logistic via LLA,0.5,V335,-0.040985684472984944
SCAD Logistic via LLA,0.5,V336,-0.037794311336065665
SCAD Logistic via LLA,0.5,V337,-0.1379471811237188
SCAD Logistic via LLA,0.5,V338,-0.05315291187882411
SCAD Logistic via LLA,0.5,V340,0.04007495948439082
SCAD Logistic via LLA,0.5,V341,0.11162652087204294
SCAD Logistic via LLA,0.5,V342,0.0038059958647915673
SCAD Logistic via LLA,0.5,V343,0.057681927842514295
SCAD Logistic via LLA,0.5,V344,-0.11012650307017058
SCAD Logistic via LLA,0.5,V345,0.06888262058420061
SCAD Logistic via LLA,0.5,V346,-0.04442130712181451
SCAD Logistic via LLA,0.5,V347,0.02568847079970913
SCAD Logistic via LLA,0.5,V348,-0.08742190781590033
SCAD Logistic via LLA,0.5,V349,0.14415754096347516
SCAD Logistic via LLA,0.5,V350,0.10080048604948454
SCAD Logistic via LLA,0.5,V351,0.025627332366658817
SCAD Logistic via LLA,0.5,V352,0.019983430092761146
SCAD Logistic via LLA,0.5,V353,0.0934368161455592
SCAD Logistic via LLA,0.5,V354,0.06082392059281279
SCAD Logistic via LLA,0.5,V355,-0.009541657333603985
SCAD Logistic via LLA,0.5,V356,-0.01902871450359443
SCAD Logistic via LLA,0.5,V357,0.0033737592523486086
SCAD Logistic via LLA,0.5,V358,-0.06824542426590173
SCAD Logistic via LLA,0.5,V359,0.08801469787574887
SCAD Logistic via LLA,0.5,V360,0.042132183610684715
SCAD Logistic via LLA,0.5,V361,0.005203584589614857
SCAD Logistic via LLA,0.5,V362,0.055515560152827804
SCAD Logistic via LLA,0.5,V363,-0.024777232968556502
SCAD Logistic via LLA,0.5,V364,0.09373028102116353
SCAD Logistic via LLA,0.5,V365,0.07401615539767957
SCAD Logistic via LLA,0.5,V366,0.03800277612791021
SCAD Logistic via LLA,0.5,V367,0.042416579381846974
SCAD Logistic via LLA,0.5,V368,-0.029165172480704205
SCAD Logistic via LLA,0.5,V369,0.026415609856906132
SCAD Logistic via LLA,0.5,V370,-0.023310894190296246
SCAD Logistic via LLA,0.5,V371,0.0594425482667974
SCAD Logistic via LLA,0.5,V372,-0.007074052104157817
SCAD Logistic via LLA,0.5,V373,0.014686591128186315
SCAD Logistic via LLA,0.5,V374,-0.0036012862256854464
SCAD Logistic via LLA,0.5,V375,-0.06533825499236103
SCAD Logistic via LLA,0.5,V376,-0.07189366623302541
SCAD Logistic via LLA,0.5,V377,0.07814172663033933
SCAD Logistic via LLA,0.5,V378,-0.16747198696430868
SCAD Logistic via LLA,0.5,V379,-0.8834377275949349
SCAD Logistic via LLA,0.5,V380,-0.036050332389405165
SCAD Logistic via LLA,0.5,V381,0.006887988662567871
SCAD Logistic via LLA,0.5,V382,-0.0685704006056195
SCAD Logistic via LLA,0.5,V383,0.10481493787608533
SCAD Logistic via LLA,0.5,V384,0.08819688842607487
SCAD Logistic via LLA,0.5,V385,0.13275469105533969
SCAD Logistic via LLA,0.5,V386,0.0265424388932794
SCAD Logistic via LLA,0.5,V387,0.002620242818427588
SCAD Logistic via LLA,0.5,V388,0.03956098205817965
SCAD Logistic via LLA,0.5,V389,-0.02977608972105584
SCAD Logistic via LLA,0.5,V390,-0.022915201518269618
SCAD Logistic via LLA,0.5,V391,-0.06970322698611507
SCAD Logistic via LLA,0.5,V392,-4.286511938742671e-05
SCAD Logistic via LLA,0.5,V393,-0.03483856156668451
SCAD Logistic via LLA,0.5,V394,-0.016279055476607584
SCAD Logistic via LLA,0.5,V395,-0.05554698054879974
SCAD Logistic via LLA,0.5,V396,-0.057508454463057926
SCAD Logistic via LLA,0.5,V398,-0.02604240955812416
SCAD Logistic via LLA,0.5,V399,0.019394547625710953
SCAD Logistic via LLA,0.5,V400,0.07725549766002722
SCAD Logistic via LLA,0.5,V401,0.02886520308880322
SCAD Logistic via LLA,0.5,V402,-0.013711513881092041
SCAD Logistic via LLA,0.5,V403,0.02312293567673483
SCAD Logistic via LLA,0.5,V404,0.13013060917035793
SCAD Logistic via LLA,0.5,V405,-0.04594088113485083
SCAD Logistic via LLA,0.5,V406,0.024111737092683026
SCAD Logistic via LLA,0.5,V407,0.06020194118622004
SCAD Logistic via LLA,0.5,V408,-0.03963501895912855
SCAD Logistic via LLA,0.5,V409,0.02887569912066592
SCAD Logistic via LLA,0.5,V410,-0.08959870169537622
SCAD Logistic via LLA,0.5,V411,-0.09271569231239912
SCAD Logistic via LLA,0.5,V412,-0.08185278910668553
SCAD Logistic via LLA,0.5,V413,0.09297140823142414
SCAD Logistic via LLA,0.5,V414,-0.11689290313831986
SCAD Logistic via LLA,0.5,V415,-0.1108260404689903
SCAD Logistic via LLA,0.5,V416,-0.055704046437782644
SCAD Logistic via LLA,0.5,V417,-0.05161139633615905
SCAD Logistic via LLA,0.5,V418,-0.14662447017883182
SCAD Logistic via LLA,0.5,V419,-0.012449049309130721
SCAD Logistic via LLA,0.5,V420,0.07859635800208704
SCAD Logistic via LLA,0.5,V421,-0.11216291682223789
SCAD Logistic via LLA,0.5,V422,-0.07759212846008502
SCAD Logistic via LLA,0.5,V423,-0.10318018317738492
SCAD Logistic via LLA,0.5,V424,-0.12546943852003234
SCAD Logistic via LLA,0.5,V425,0.18862768730277082
SCAD Logistic via LLA,0.5,V426,-0.17760277084938866
SCAD Logistic via LLA,0.5,V427,-0.021179910816515237
SCAD Logistic via LLA,0.5,V428,0.038240379724947315
SCAD Logistic via LLA,0.5,V429,0.007549343458228633
SCAD Logistic via LLA,0.5,V430,0.008987344486381842
SCAD Logistic via LLA,0.5,V431,-0.11483114757865673
SCAD Logistic via LLA,0.5,V432,0.1373180558567625
SCAD Logistic via LLA,0.5,V433,0.04519031113579122
SCAD Logistic via LLA,0.5,V434,0.07871710142068276
SCAD Logistic via LLA,0.5,V435,0.019833934117408747
SCAD Logistic via LLA,0.5,V436,-0.047934143400386514
SCAD Logistic via LLA,0.5,V437,0.025731436827374273
SCAD Logistic via LLA,0.5,V438,-0.05574108378006192
SCAD Logistic via LLA,0.5,V439,-0.03328040537389035
SCAD Logistic via LLA,0.5,V440,0.05517966843350981
SCAD Logistic via LLA,0.5,V441,-0.04680821403536979
SCAD Logistic via LLA,0.5,V442,-0.13384900343489575
SCAD Logistic via LLA,0.5,V443,-1.0305546314813978
SCAD Logistic via LLA,0.5,V444,0.06208584629458715
SCAD Logistic via LLA,0.5,V445,-0.044729784811810766
SCAD Logistic via LLA,0.5,V446,0.17782100801629655
SCAD Logistic via LLA,0.5,V447,0.05601605915647622
SCAD Logistic via LLA,0.5,V448,-0.05007895303629228
SCAD Logistic via LLA,0.5,V449,-0.1053662622248432
SCAD Logistic via LLA,0.5,V450,-0.09315143235135089
SCAD Logistic via LLA,0.5,V451,-0.05826087676425734
SCAD Logistic via LLA,0.5,V452,0.5407795570748194
SCAD Logistic via LLA,0.5,V453,0.11460011019757688
SCAD Logistic via LLA,0.5,V454,0.06700838545748185
SCAD Logistic via LLA,0.5,V455,0.15141163253932338
SCAD Logistic via LLA,0.5,V457,0.07954313771723406
SCAD Logistic via LLA,0.5,V458,0.08426058088399732
SCAD Logistic via LLA,0.5,V459,0.08358470311287493
SCAD Logistic via LLA,0.5,V461,-0.006327581619600178
SCAD Logistic via LLA,0.5,V462,0.06303987023057424
SCAD Logistic via LLA,0.5,V463,-0.055525220626476635
SCAD Logistic via LLA,0.5,V464,-0.05435547602501724
SCAD Logistic via LLA,0.5,V466,-0.003699630934152155
SCAD Logistic via LLA,0.5,V468,-0.04788480030983682
SCAD Logistic via LLA,0.5,V469,0.08811278841816413
SCAD Logistic via LLA,0.5,V470,-0.10646732059738073
SCAD Logistic via LLA,0.5,V471,-0.0026875427253775317
SCAD Logistic via LLA,0.5,V472,0.11901567392774766
SCAD Logistic via LLA,0.5,V474,0.005492773313556306
SCAD Logistic via LLA,0.5,V475,0.03967175350916864
SCAD Logistic via LLA,0.5,V476,0.4422835866107906
SCAD Logistic via LLA,0.5,V477,0.028663121881217665
SCAD Logistic via LLA,0.5,V478,0.03073826246652679
SCAD Logistic via LLA,0.5,V479,0.04617768426914589
SCAD Logistic via LLA,0.5,V480,-0.03491375748493193
SCAD Logistic via LLA,0.5,V481,-0.08578317257290465
SCAD Logistic via LLA,0.5,V482,-0.15764669833902836
SCAD Logistic via LLA,0.5,V483,-0.01573622788965244
SCAD Logistic via LLA,0.5,V484,-0.01883437517382797
SCAD Logistic via LLA,0.5,V485,-0.019332827412593966
SCAD Logistic via LLA,0.5,V486,-0.04833407478223737
SCAD Logistic via LLA,0.5,V487,-0.07742308716633275
SCAD Logistic via LLA,0.5,V488,0.05038189749218552
SCAD Logistic via LLA,0.5,V489,-0.02313967704012685
